               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062703,            0.032146,            0.034015,            0.075838,             0.19601,            0.041757,            0.011317,            0.029403,            0.019561,            0.021533,           0.0033143,           0.0033143,            0.070171
                   1,            0.042923,            0.025427,            0.030975,             0.14089,             0.28892,             0.13239,            0.061521,            0.033259,           0.0098748,            0.019635,           0.0065818,           0.0065818,            0.040106
                   2,            0.044045,            0.019704,            0.029593,             0.10807,             0.37975,             0.14803,            0.065813,            0.028609,           0.0079049,            0.018947,           0.0097833,           0.0097833,           0.0099738
                   3,            0.038722,            0.019611,            0.029424,             0.19939,             0.32722,             0.25164,             0.14466,            0.020366,           0.0076911,            0.017583,            0.009703,            0.009703,            0.009703
                   4,            0.035135,            0.020289,            0.028118,             0.35561,             0.32824,             0.29667,             0.15891,            0.024491,           0.0070199,            0.015861,            0.009703,            0.009703,            0.009703
                   5,            0.037923,            0.017953,            0.025985,             0.37647,             0.42422,             0.36796,             0.20388,            0.027158,            0.006687,            0.013677,            0.009604,            0.009604,            0.009604
                   6,            0.036237,            0.017994,            0.024506,             0.30377,             0.47099,             0.37635,             0.21286,            0.020794,           0.0069516,            0.012578,            0.009505,            0.009505,            0.009505
                   7,             0.02937,            0.018535,            0.022867,             0.30945,             0.64892,             0.43634,             0.25108,            0.018368,           0.0069311,            0.011224,            0.009406,            0.009406,            0.009406
                   8,            0.029019,            0.016924,            0.021994,             0.30269,             0.68593,             0.40618,             0.17457,            0.018934,           0.0069439,            0.010985,            0.009307,            0.009307,            0.009307
                   9,            0.026091,            0.018059,            0.021388,             0.42752,             0.63319,              0.5354,             0.31138,            0.016061,           0.0068818,            0.010128,            0.009208,            0.009208,            0.009208
                  10,            0.025856,             0.01791,            0.019853,             0.43936,             0.61093,             0.52404,             0.31378,            0.016886,           0.0065865,           0.0093995,            0.009109,            0.009109,            0.009109
                  11,            0.027439,            0.017852,            0.021229,             0.49076,             0.69696,             0.58046,             0.34653,            0.015101,           0.0066579,            0.010194,             0.00901,             0.00901,             0.00901
                  12,            0.025245,            0.017641,            0.019412,             0.53176,             0.72145,              0.6489,             0.38521,             0.01583,           0.0063567,           0.0085016,            0.008911,            0.008911,            0.008911
                  13,            0.024914,            0.017259,            0.019519,             0.56499,             0.69221,             0.70294,             0.38766,            0.016401,           0.0062809,           0.0077523,            0.008812,            0.008812,            0.008812
                  14,            0.025181,            0.016651,            0.018798,             0.56842,             0.73821,             0.69001,             0.39329,            0.015459,           0.0060567,           0.0071988,            0.008713,            0.008713,            0.008713
                  15,            0.023916,            0.017034,            0.017656,             0.63529,             0.72162,               0.732,             0.42797,            0.015979,             0.00592,           0.0069451,            0.008614,            0.008614,            0.008614
                  16,            0.024095,            0.017523,            0.016798,             0.60612,             0.83358,             0.75798,             0.47107,            0.014347,           0.0058987,           0.0066642,            0.008515,            0.008515,            0.008515
                  17,             0.02509,            0.016143,            0.015691,              0.6387,             0.77328,             0.74245,             0.45197,            0.014663,           0.0059865,           0.0060493,            0.008416,            0.008416,            0.008416
                  18,            0.023174,            0.015559,            0.015498,              0.6361,             0.82755,             0.77846,             0.45764,            0.014579,           0.0056025,           0.0063125,            0.008317,            0.008317,            0.008317
